time,open,high,low,close,volume,time,RSI
2018-06-29,24323.9297,24509.5195,24269.7109,24271.4102,329070000,2018-06-29,36.6130
2018-06-28,24064.1895,24308.1602,23997.2109,24216.0508,305020000,2018-06-28,17.0213
2018-06-27,24303.1094,24569.0195,24115.8203,24117.5898,313790000,2018-06-27,22.6578
2018-06-26,24281.8906,24384.2109,24241.2207,24283.1094,301130000,2018-06-26,20.6150
2018-06-25,24463.7305,24463.7305,24084.3906,24252.8008,439130000,2018-06-25,25.7064
2018-06-22,24526.9707,24663.1797,24526.9707,24580.8906,473970000,2018-06-22,27.7954
2018-06-21,24639.2109,24639.2109,24406.6309,24461.6992,349570000,2018-06-21,31.8098
2018-06-20,24771.1699,24804.7598,24628.3906,24657.8008,359520000,2018-06-20,37.3607
2018-06-19,24763.5898,24763.5898,24567.7500,24700.2109,376380000,2018-06-19,36.8064
2018-06-18,24944.2793,25003.0996,24825.7695,24987.4707,337070000,2018-06-18,45.1369
2018-06-15,25116.7109,25130.8203,24894.3809,25090.4805,659370000,2018-06-15,55.6550
2018-06-14,25254.6504,25332.5000,25138.5996,25175.3105,341170000,2018-06-14,66.5025
2018-06-13,25328.6504,25362.0703,25191.4199,25201.1992,329700000,2018-06-13,73.1995
2018-06-12,25346.8203,25364.3691,25247.0391,25320.7305,265750000,2018-06-12,74.8183
2018-06-11,25336.6699,25402.8301,25290.1992,25322.3105,276740000,2018-06-11,74.5431
2018-06-08,25209.2891,25325.6309,25165.6992,25316.5293,317510000,2018-06-08,71.0719
